"Ligne_num";"NOMVOIE";"ID_DEFAUT";"PK_DEFAUT";"PROFIL_RAIL";"ANNEE_POSE";"VITESSE";"GROUPE_UIC";"RAYON_COURBE";"ID_TYPE_CLASSEMENT";"ID_TYPE_EMPLACEMENT";"ID_TYPE_DEFAUT";"Annee_Decouverte"
229000;"V2";2807148;"093+0868";"U33";1961;130;"7AV";10000;"O";"Ciel ouvert";"2272";2016
229000;"V2";2807150;"093+0685";"U33";1961;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807162;"092+0115";"U33";1961;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807170;"091+0050";"U33";1961;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807177;"090+0134";"U33";1961;130;"7AV";943;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807187;"089+0495";"U33";1961;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807197;"088+0546";"U33";1961;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807198;"088+0542";"U33";1961;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807202;"086+0980";"U33";1961;130;"7AV";758;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807259;"080+0330";"U33";1976;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807260;"080+0326";"U33";1976;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807262;"080+0323";"U33";1976;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807263;"080+0232";"U33";1976;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807273;"079+0910";"U33";1970;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807300;"079+0660";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807302;"079+0648";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807311;"079+0560";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807316;"079+0513";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807317;"079+0508";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807321;"079+0468";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807328;"079+0415";"U33";1969;130;"7AV";1041;"O";"Ciel ouvert";"2270";2016
